club,elo,date
Chelsea,1829.57116699,2016-10-31
Chelsea,1834.89550781,2016-11-02
Chelsea,1830.53955078,2016-11-03
Chelsea,1828.7175293,2016-11-04
Chelsea,1837.79748535,2016-11-06
Chelsea,1837.79748535,2016-11-07
Chelsea,1837.79748535,2016-11-20
Chelsea,1841.78710938,2016-11-21
Chelsea,1840.58496094,2016-11-23
Chelsea,1839.50146484,2016-11-24
Chelsea,1838.30493164,2016-11-25
Chelsea,1844.16320801,2016-11-27
Chelsea,1858.55944824,2016-12-04
Chelsea,1859.02734375,2016-12-07
Chelsea,1856.35876465,2016-12-08
Chelsea,1856.64941406,2016-12-09
Chelsea,1859.28552246,2016-12-12
Chelsea,1863.07800293,2016-12-15
Chelsea,1866.94555664,2016-12-18
Chelsea,1866.94555664,2016-12-19
Chelsea,1870.30200195,2016-12-27
Chelsea,1873.78625488,2017-01-01
Chelsea,1863.23718262,2017-01-05
Chelsea,1873.77856445,2017-01-15
Chelsea,1873.77856445,2017-01-22
Chelsea,1875.60400391,2017-01-23
Chelsea,1875.60400391,2017-01-30
Chelsea,1876.14453125,2017-02-01
Chelsea,1884.50354004,2017-02-05
Chelsea,1879.79101562,2017-02-13
Chelsea,1879.79101562,2017-02-15
Chelsea,1876.98828125,2017-02-16
Chelsea,1878.10534668,2017-02-17
Chelsea,1880.41882324,2017-02-22
Chelsea,1881.13659668,2017-02-23
Chelsea,1876.07897949,2017-02-24
Chelsea,1878.72094727,2017-02-26
Chelsea,1878.72094727,2017-03-05
Chelsea,1883.51428223,2017-03-07
Chelsea,1882.50073242,2017-03-08
Chelsea,1883.01745605,2017-03-10
Chelsea,1889.16821289,2017-03-15
Chelsea,1884.08093262,2017-03-16
Chelsea,1885.56408691,2017-03-17
Chelsea,1890.32678223,2017-03-19
Chelsea,1874.82080078,2017-04-02
Chelsea,1879.98388672,2017-04-06
Chelsea,1885.39306641,2017-04-09
Chelsea,1884.98376465,2017-04-13
Chelsea,1885.46118164,2017-04-14
Chelsea,1885.46118164,2017-04-15
Chelsea,1875.20275879,2017-04-17
Chelsea,1874.66674805,2017-04-19
Chelsea,1876.12878418,2017-04-21
Chelsea,1879.77685547,2017-04-26
Chelsea,1892.11560059,2017-05-01
Chelsea,1893.88916016,2017-05-05
Chelsea,1895.96679688,2017-05-09
Chelsea,1896.05773926,2017-05-12
Chelsea,1900.18603516,2017-05-13
Chelsea,1901.60192871,2017-05-16
Chelsea,1903.68286133,2017-05-22
Chelsea,1906.44250488,2017-05-25
Chelsea,1906.46191406,2017-07-28
Chelsea,1906.79248047,2017-08-04
Chelsea,1891.10693359,2017-08-13
Chelsea,1893.73498535,2017-08-16
Chelsea,1894.93029785,2017-08-18
Chelsea,1904.52844238,2017-08-21
Chelsea,1906.06164551,2017-08-24
Chelsea,1906.34313965,2017-08-25
Chelsea,1910.98742676,2017-08-28
Chelsea,1915.98266602,2017-09-10
Chelsea,1918.9276123,2017-09-13
Chelsea,1922.68713379,2017-09-14
Chelsea,1919.85803223,2017-09-15
Chelsea,1915.7668457,2017-09-18
Chelsea,1923.73388672,2017-09-24
Chelsea,1926.2857666,2017-09-27
Chelsea,1945.81396484,2017-09-28
Chelsea,1944.20324707,2017-09-29
Chelsea,1934.04699707,2017-10-01
Chelsea,1919.76757812,2017-10-15
Chelsea,1925.55529785,2017-10-18
Chelsea,1921.3347168,2017-10-19
Chelsea,1918.2376709,2017-10-20
Chelsea,1920.84020996,2017-10-22
Chelsea,1924.1784668,2017-10-29
Chelsea,1909.69616699,2017-11-01
Chelsea,1917.95715332,2017-11-02
Chelsea,1912.31921387,2017-11-03
Chelsea,1918.99743652,2017-11-06
Chelsea,1925.42553711,2017-11-19
Chelsea,1927.73522949,2017-11-22
Chelsea,1928.95959473,2017-11-23
Chelsea,1918.44165039,2017-11-24
Chelsea,1918.50646973,2017-11-26
Chelsea,1920.00036621,2017-11-30
Chelsea,1922.08398438,2017-12-03
Chelsea,1919.81884766,2017-12-06
Chelsea,1919.07995605,2017-12-07
Chelsea,1922.96557617,2017-12-08
Chelsea,1909.28149414,2017-12-10
Chelsea,1909.28149414,2017-12-11
Chelsea,1911.97302246,2017-12-13
Chelsea,1913.98852539,2017-12-17
Chelsea,1913.98852539,2017-12-18
Chelsea,1909.91040039,2017-12-24
Chelsea,1912.08813477,2017-12-27
Chelsea,1915.99462891,2017-12-31
Chelsea,1915.99462891,2018-01-03
Chelsea,1915.37182617,2018-01-04
Chelsea,1915.37182617,2018-01-05
Chelsea,1909.3671875,2018-01-14
Chelsea,1914.74401855,2018-01-21
Chelsea,1888.91809082,2018-02-01
Chelsea,1865.95593262,2018-02-06
Chelsea,1869.51989746,2018-02-13
Chelsea,1872.43518066,2018-02-14
Chelsea,1876.49023438,2018-02-15
Chelsea,1877.07702637,2018-02-16
Chelsea,1876.16455078,2018-02-21
Chelsea,1876.0748291,2018-02-22
Chelsea,1875.92443848,2018-02-23
Chelsea,1869.78149414,2018-02-26
Chelsea,1869.78149414,2018-03-04
Chelsea,1866.02905273,2018-03-05
Chelsea,1865.61523438,2018-03-07
Chelsea,1860.42089844,2018-03-08
Chelsea,1863.72705078,2018-03-09
Chelsea,1866.13964844,2018-03-11
Chelsea,1860.43029785,2018-03-14
Chelsea,1852.15222168,2018-03-15
Chelsea,1853.24780273,2018-03-16
Chelsea,1842.60498047,2018-04-02
Chelsea,1842.60498047,2018-04-04
Chelsea,1846.15026855,2018-04-06
Chelsea,1839.89587402,2018-04-09
Chelsea,1839.89587402,2018-04-11
Chelsea,1840.17504883,2018-04-13
Chelsea,1844.63464355,2018-04-15
Chelsea,1851.02587891,2018-04-20
Chelsea,1854.06237793,2018-04-25
Chelsea,1853.38476562,2018-04-27
Chelsea,1857.88391113,2018-04-29
Chelsea,1857.88391113,2018-04-30
Chelsea,1856.96789551,2018-05-03
Chelsea,1855.44396973,2018-05-04
Chelsea,1863.79052734,2018-05-07
Chelsea,1855.95874023,2018-05-10
Chelsea,1835.4987793,2018-05-14
Chelsea,1832.97045898,2018-05-27
Chelsea,1833.00134277,2018-07-27
Chelsea,1833.95385742,2018-08-03
Chelsea,1834.34179688,2018-08-10
Chelsea,1840.37744141,2018-08-12
Chelsea,1843.13598633,2018-08-17
Chelsea,1848.79614258,2018-08-19
Chelsea,1848.79614258,2018-08-20
Chelsea,1845.02429199,2018-08-24
Chelsea,1850.1427002,2018-08-27
Chelsea,1850.1427002,2018-08-28
Chelsea,1847.69128418,2018-08-31
Chelsea,1851.80407715,2018-09-02
Chelsea,1851.80407715,2018-09-03
Chelsea,1854.5390625,2018-09-16
Chelsea,1852.71081543,2018-09-19
Chelsea,1850.77172852,2018-09-20
